applicant_id,edad,genero,provincia,region,zona,tipo_beca,nivel_estudio,ingreso_hogar_mensual_dop,miembros_hogar,promedio_academico,score_documental,horas_voluntariado,puntaje_ingles,costo_anual_programa_dop,primera_generacion_universitaria,discapacidad,adjudicada
RD-000001,39,masculino,La Romana,Yuma,urbana,internacional,doctorado,49180.67,7,89.65,60.22,39.8,76.74,999041.24,1,0,0
RD-000002,17,femenino,La Vega,Cibao Sur,urbana,nacional,grado,21669.76,3,81.16,79.51,2.2,64.06,326254.74,1,0,0
RD-000003,18,masculino,Azua,Valdesia,rural,nacional,grado,33767.34,3,81.12,76.47,8.2,54.21,175067.06,0,0,1
RD-000004,37,femenino,San Cristobal,Valdesia,urbana,internacional,maestria,29704.33,6,71.84,48.24,125.3,100.0,1765433.61,1,1,0
RD-000005,21,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,24531.48,5,84.73,71.72,66.8,66.61,163281.4,0,0,0
RD-000006,44,masculino,Barahona,Enriquillo,urbana,internacional,maestria,43023.12,3,75.1,83.62,0.0,82.89,1674926.2,0,0,0
RD-000007,24,femenino,La Romana,Yuma,urbana,nacional,grado,12000.0,3,91.35,65.24,97.5,43.3,278972.54,1,0,1
RD-000008,25,masculino,La Romana,Yuma,urbana,nacional,maestria,35471.38,6,78.13,84.14,0.0,40.25,353607.43,0,0,0
RD-000009,20,masculino,Santo Domingo,Ozama,urbana,nacional,grado,40148.51,6,81.63,83.19,22.8,80.6,288791.98,1,0,1
RD-000010,27,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,19978.22,2,100.0,65.79,63.7,63.92,1143551.55,0,0,1
RD-000011,17,masculino,Santiago,Cibao Norte,urbana,nacional,grado,96980.99,3,81.55,77.85,173.4,54.94,310156.54,0,0,0
RD-000012,42,femenino,San Juan,El Valle,urbana,internacional,maestria,30425.85,6,80.48,87.9,96.7,77.57,2017905.25,1,0,1
RD-000013,32,masculino,San Cristobal,Valdesia,urbana,internacional,doctorado,37026.3,1,88.68,67.48,38.3,78.56,1502648.7,0,0,1
RD-000014,24,masculino,La Altagracia,Yuma,urbana,nacional,grado,30463.35,2,69.72,75.53,61.3,43.09,477983.01,1,0,0
RD-000015,25,femenino,La Vega,Cibao Sur,urbana,nacional,grado,40341.61,2,94.01,91.8,101.4,58.82,316082.31,1,0,1
RD-000016,22,masculino,Santo Domingo,Ozama,urbana,nacional,grado,86636.74,4,91.95,67.71,124.0,51.94,267218.3,0,0,1
RD-000017,42,masculino,Duarte,Cibao Nordeste,rural,internacional,maestria,164416.59,4,88.2,83.51,48.9,69.49,871816.4,1,0,1
RD-000018,25,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,63583.01,3,60.0,65.05,50.2,43.97,269444.6,0,0,0
RD-000019,24,femenino,La Altagracia,Yuma,urbana,nacional,grado,76756.75,1,81.92,76.07,22.6,66.15,349618.3,0,0,1
RD-000020,36,masculino,San Cristobal,Valdesia,urbana,nacional,maestria,108448.98,5,73.82,83.36,89.9,64.09,124264.37,1,1,0
RD-000021,33,femenino,La Romana,Yuma,urbana,nacional,maestria,48381.8,6,92.99,49.15,106.2,54.14,359565.49,0,0,1
RD-000022,29,femenino,Santiago,Cibao Norte,urbana,internacional,doctorado,100071.28,2,92.42,71.59,0.0,55.48,1729837.84,1,0,0
RD-000023,25,femenino,Barahona,Enriquillo,urbana,nacional,grado,65239.52,5,87.1,83.15,42.1,47.65,217966.92,0,0,0
RD-000024,31,masculino,Peravia,Valdesia,urbana,nacional,maestria,45669.82,6,74.38,80.71,5.4,22.4,289569.76,0,0,0
RD-000025,21,masculino,La Romana,Yuma,rural,nacional,grado,51158.69,4,95.95,71.73,66.8,57.24,189962.97,1,0,0
RD-000026,31,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,15494.19,5,81.9,64.75,4.3,58.43,283587.23,0,0,1
RD-000027,20,femenino,La Vega,Cibao Sur,urbana,nacional,grado,49546.44,2,98.44,85.54,0.6,60.78,130544.67,0,0,1
RD-000028,24,femenino,Distrito Nacional,Ozama,urbana,internacional,doctorado,18050.68,7,86.12,74.13,110.6,81.3,1239337.57,0,1,1
RD-000029,39,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,17259.22,7,88.05,84.54,52.5,66.56,258617.55,1,0,1
RD-000030,20,femenino,San Cristobal,Valdesia,rural,nacional,grado,46914.56,5,80.32,82.56,57.3,39.01,239650.97,0,0,1
RD-000031,24,femenino,San Pedro de Macoris,Higuamo,urbana,internacional,maestria,22862.58,7,95.26,72.63,79.4,71.5,1264802.6,0,0,1
RD-000032,18,femenino,Barahona,Enriquillo,rural,nacional,grado,42027.84,5,88.87,90.87,103.7,37.18,238085.94,0,0,1
RD-000033,20,femenino,Santiago,Cibao Norte,urbana,nacional,grado,45530.56,5,95.54,70.87,41.2,50.38,281947.89,1,0,1
RD-000034,25,masculino,Santiago,Cibao Norte,urbana,nacional,grado,46661.62,6,85.42,92.29,42.2,62.21,220309.57,1,0,1
RD-000035,23,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,25661.14,1,83.62,93.86,42.4,79.82,1897853.89,1,0,1
RD-000036,31,masculino,Santo Domingo,Ozama,urbana,nacional,maestria,69166.73,2,88.76,90.6,108.7,63.24,80000.0,0,0,1
RD-000037,23,femenino,Santo Domingo,Ozama,urbana,nacional,maestria,40171.8,2,95.54,75.83,56.9,46.86,369662.61,0,0,1
RD-000038,20,femenino,La Vega,Cibao Sur,urbana,nacional,grado,53776.49,5,92.13,100.0,46.9,53.77,129513.02,1,0,1
RD-000039,24,femenino,Santo Domingo,Ozama,rural,nacional,grado,21850.04,2,85.11,79.82,77.6,49.28,393468.33,0,0,0
RD-000040,19,femenino,San Cristobal,Valdesia,urbana,nacional,grado,38250.8,3,69.14,80.89,142.4,43.35,216978.31,0,0,1
